Start Timestamp,Elapsed Time (s),Rounds Played,Score,Total Reward,Loss,Steps,BOILING,BOMB_DROPPED,BOMB_EXPLODED,COIN_COLLECTED,COIN_FOUND,COOL,CRATE_COMBO,CRATE_DESTROYED,CRATE_POTENTIALLY_DESTROYED,ENEMY_POTENTIALLY_KILLED,FRESHENED_UP,GOT_KILLED,HOT,INVALID_ACTION,KILLED_OPPONENT,KILLED_SELF,LAST_AGENT_STANDING,MOVED_DOWN,MOVED_LEFT,MOVED_RIGHT,MOVED_UP,OPPONENT_ELIMINATED,STEP_SURVIVED,SURVIVED_ROUND,USELESS_BOMB,WAITED,WARM,UP,RIGHT,DOWN,LEFT,WAIT,BOMB
2024-09-19 23:04:22,335.830286026001,10,6,119.03999999999758,114.14362825010903,2244,2,114,114,29,30,0,0,65,62,1,106,8,11,120,12,8,0,408,423,435,455,12,2238,2,50,291,114,468,491,429,430,291,137
2024-09-19 23:04:22,339.7761378288269,10,13,-2.900000000000274,60.52788100182079,1145,1,63,63,10,17,0,0,33,32,0,55,8,4,67,4,8,0,203,227,228,212,3,1139,2,29,147,63,237,244,212,230,147,77
2024-09-19 23:04:22,347.7826910018921,10,9,160.80000000000166,121.84251417429186,2378,0,98,98,29,33,0,0,68,66,0,92,6,2,131,10,6,0,442,460,514,450,8,2376,4,27,287,98,475,545,488,465,287,122
2024-09-19 23:04:22,354.2679898738861,10,8,109.55999999999881,112.02419858193025,2140,1,110,109,24,29,0,0,55,53,2,103,7,3,77,10,7,0,377,424,460,417,7,2136,3,52,278,110,428,477,389,432,278,139
2024-09-19 23:04:22,360.9063730239868,10,3,109.599999999998,104.11417521501426,2240,1,83,83,24,28,0,0,60,59,2,78,8,4,127,10,8,0,422,384,414,474,10,2234,2,21,338,83,537,427,444,391,338,105
2024-09-19 23:04:22,369.70090889930725,10,9,86.97999999999878,106.52507091592997,2261,0,106,104,23,27,0,0,51,51,1,99,6,13,133,8,6,0,390,335,398,386,7,2259,4,53,517,106,407,426,419,354,517,142
2024-09-19 23:04:22,376.29852271080017,10,4,48.9399999999998,93.46351508051157,2004,0,89,88,28,30,0,0,59,56,1,80,9,2,114,6,9,0,355,410,414,401,6,1996,1,36,222,89,417,450,388,416,222,112
2024-09-19 23:04:22,383.66796493530273,10,2,8.780000000000019,104.45403281180188,2377,1,93,92,27,32,0,0,52,51,1,86,8,2,164,2,8,0,290,525,593,372,2,2371,2,40,342,93,468,620,304,529,342,116
2024-09-19 23:04:22,392.3639268875122,10,19,156.97999999999897,110.60036865854636,2666,0,116,115,32,33,0,0,68,65,1,113,5,5,185,10,5,0,413,544,534,441,10,2666,5,49,438,116,468,612,438,576,438,139
2024-09-19 23:04:22,397.34376072883606,10,0,33.180000000000035,55.01041701179929,1410,0,61,61,14,18,0,0,49,45,1,52,9,2,106,7,9,0,177,376,373,200,5,1402,1,15,118,61,251,395,188,383,118,76
