Start Timestamp,Elapsed Time (s),Rounds Played,Score,Total Reward,Loss,Steps,BOILING,BOMB_DROPPED,BOMB_EXPLODED,COIN_COLLECTED,COIN_FOUND,COOL,CRATE_COMBO,CRATE_DESTROYED,FRESHENED_UP,GOT_KILLED,HOT,INVALID_ACTION,KILLED_OPPONENT,KILLED_SELF,MOVED_DOWN,MOVED_LEFT,MOVED_RIGHT,MOVED_UP,OPPONENT_ELIMINATED,SURVIVED_ROUND,USELESS_BOMB,WAITED,WARM,UP,RIGHT,DOWN,LEFT,WAIT,BOMB
2024-09-18 16:33:05,71.38633990287781,10,0,-56.9399999999994,33.62948150187731,510,2,20,20,5,16,0,0,46,14,10,6,107,0,10,130,23,28,123,0,0,1,79,20,132,45,137,84,79,33
2024-09-18 16:33:05,72.15638613700867,10,0,-37.62000000000048,44.95776689425111,672,0,30,30,8,25,0,0,67,22,10,4,203,0,10,132,43,41,126,0,0,6,97,30,201,65,190,70,97,49
2024-09-18 16:33:05,72.67749786376953,10,0,-42.32000000000012,31.91460927342996,457,1,24,24,5,24,0,0,54,21,10,1,140,0,10,128,13,13,121,0,0,0,18,24,132,86,133,41,18,47
2024-09-18 16:33:05,73.30607008934021,10,1,-21.160000000000206,34.19854601752013,504,2,28,28,7,28,0,0,75,22,10,4,173,0,10,78,37,43,85,0,0,3,60,28,119,92,111,71,60,51
2024-09-18 16:33:05,74.7396559715271,10,0,-2.9799999999999685,81.53247583191842,1180,0,42,42,18,38,0,0,91,36,10,4,270,0,10,175,143,147,172,0,0,5,231,42,210,225,211,239,231,64
2024-09-18 16:33:05,75.88612198829651,10,0,-34.94000000000113,65.43510460760444,958,2,35,35,9,26,0,0,83,29,10,3,337,0,10,221,50,52,202,0,0,5,61,35,294,78,295,168,61,62
2024-09-18 16:33:05,76.42699599266052,10,0,4.479999999999871,31.203174732625484,463,1,30,30,13,29,0,0,80,24,10,2,105,0,10,119,36,40,115,0,0,1,18,30,131,49,137,72,18,56
2024-09-18 16:33:05,77.7088189125061,10,3,-2.1199999999996897,68.73130277637392,983,4,36,36,13,37,0,0,91,28,10,9,213,0,10,201,118,118,205,0,0,4,92,36,226,143,286,171,92,65
2024-09-18 16:33:05,78.69355201721191,10,0,-30.600000000000463,54.90536269498989,806,1,36,36,6,31,0,0,75,29,10,6,159,0,10,157,115,114,161,0,0,11,64,36,174,149,193,154,64,72
2024-09-18 16:33:05,79.35570502281189,10,0,-39.7800000000002,36.44842914957553,532,1,35,35,9,23,0,0,61,29,10,3,133,0,10,104,75,77,98,0,0,21,10,35,108,97,167,81,10,69
2024-09-18 16:33:05,80.3093090057373,10,0,-45.359999999999836,45.37651249114424,658,0,35,35,8,20,0,0,69,31,10,3,202,0,10,151,33,28,147,0,0,22,62,35,165,114,199,41,62,77
2024-09-18 16:33:05,81.11578512191772,10,0,-4.619999999999965,44.87248426256701,669,0,37,37,17,33,0,0,76,31,10,3,219,0,10,140,56,53,136,0,0,5,28,37,216,75,186,96,28,68
2024-09-18 16:33:05,81.75973200798035,10,0,10.099999999999568,36.36130146170035,552,1,45,45,15,40,0,0,86,38,10,7,96,0,10,105,70,64,113,0,0,21,59,45,127,72,112,81,59,101
2024-09-18 16:33:05,82.43555998802185,10,2,-24.580000000000467,40.945366475731134,596,1,28,28,8,25,0,0,66,23,10,2,100,0,10,164,57,67,159,0,0,1,21,28,171,90,176,86,21,52
2024-09-18 16:33:05,82.83033084869385,10,3,-12.260000000000007,21.888653395697474,332,0,29,29,8,30,0,0,68,25,10,1,77,0,10,75,30,28,66,0,0,3,27,29,90,35,82,39,27,59
2024-09-18 16:33:05,83.40730905532837,10,3,-4.379999999999882,32.12770205689594,472,0,29,29,13,37,0,0,69,22,10,1,126,0,10,100,24,24,97,0,0,5,72,29,112,54,106,74,72,54
2024-09-18 16:33:05,84.11051082611084,10,2,-10.860000000000072,41.926639799494296,591,0,32,32,13,30,0,0,66,27,10,1,86,0,10,157,65,60,161,0,0,3,30,32,165,96,169,69,30,62
2024-09-18 16:33:05,84.72778105735779,10,4,-14.939999999999923,36.18968812795356,523,0,30,30,9,28,0,0,72,25,10,3,105,0,10,142,34,42,136,0,0,4,34,30,143,64,176,51,34,55
