Start Timestamp,Elapsed Time (s),Rounds Played,Score,Total Reward,Loss,BOILING,BOMB_DROPPED,BOMB_EXPLODED,COIN_COLLECTED,COIN_FOUND,COOL,CRATE_DESTROYED,FRESHENED_UP,GOT_KILLED,HOT,INVALID_ACTION,KILLED_OPPONENT,KILLED_SELF,MOVED_DOWN,MOVED_LEFT,MOVED_RIGHT,MOVED_UP,OPPONENT_ELIMINATED,SURVIVED_ROUND,USELESS_BOMB,WAITED,WARM,UP,RIGHT,DOWN,LEFT,WAIT,BOMB
2024-09-18 11:46:10,182.36008715629578,10,45,1010.4600000000197,172.70219565182924,0,18,18,499,0,0,0,18,2,1,38,0,2,305,300,311,342,0,8,0,17,18,349,317,316,311,17,21
2024-09-18 11:46:10,184.50440406799316,10,49,921.7000000000197,173.23951721191406,0,19,19,464,0,0,0,18,3,1,43,0,3,310,297,314,330,0,7,0,22,19,342,320,319,306,22,26
2024-09-18 11:46:10,186.26040410995483,10,10,718.9400000000145,142.6108536273241,0,24,24,387,0,0,0,23,6,0,35,0,6,257,233,278,257,0,4,0,14,24,267,282,267,242,14,26
2024-09-18 11:46:10,188.1218819618225,10,49,770.1200000000144,153.8572815284133,2,26,26,414,0,0,0,23,6,5,32,0,6,293,264,257,268,0,4,0,36,26,276,265,300,268,36,31
2024-09-18 11:46:10,189.9085168838501,10,49,744.5400000000158,141.83166230469942,0,12,12,390,0,0,0,10,5,0,26,0,5,275,238,206,302,0,5,0,26,12,308,212,278,249,26,12
2024-09-18 11:46:10,192.05923008918762,10,49,934.7000000000191,174.33253405243158,0,19,19,470,0,0,0,19,3,2,27,0,3,349,314,330,284,0,7,0,24,19,291,336,356,321,24,19
2024-09-18 12:20:17,1.577293872833252,10,2,560.4000000000112,97.55366440862417,0,16,16,319,0,0,0,12,7,1,47,0,7,230,201,187,220,0,3,18,21,16,224,198,245,216,21,18
2024-09-18 12:20:17,3.519995927810669,10,49,819.3000000000163,160.81022210419178,0,20,20,424,0,0,0,19,4,0,30,0,4,265,246,290,303,0,6,22,18,20,308,297,275,251,18,23
2024-09-18 12:20:17,5.850125789642334,10,19,872.3600000000191,155.80593177303672,0,19,19,442,0,0,0,19,3,2,34,0,3,308,261,255,333,0,7,21,15,19,342,263,315,269,15,21
2024-09-18 12:20:17,8.136377811431885,10,49,811.8400000000189,152.03774485737085,0,20,20,421,0,0,0,20,4,0,38,0,4,294,248,292,298,0,6,22,23,20,310,298,302,258,23,22
2024-09-18 12:20:17,10.063013792037964,10,47,689.4200000000138,135.39864893257618,0,17,17,366,0,0,0,17,5,4,26,0,5,252,246,218,246,0,5,20,16,17,249,224,264,248,16,20
2024-09-18 12:20:17,11.85058307647705,10,49,712.4800000000143,131.72205897048116,0,12,12,376,0,0,0,8,5,2,31,0,5,237,237,232,245,0,5,13,10,12,248,242,248,243,10,13
2024-09-18 12:20:17,13.877450942993164,10,49,839.6200000000168,161.9694730937481,1,19,19,443,0,0,0,16,5,1,27,0,5,325,272,260,289,0,5,19,19,19,294,263,334,282,19,19
2024-09-18 12:20:17,15.84210205078125,10,49,874.6400000000185,163.6179147772491,0,17,17,452,0,0,0,17,4,2,42,0,4,320,252,289,274,0,6,19,24,17,286,296,329,264,24,19
2024-09-18 12:20:17,17.615224838256836,10,41,672.9200000000145,143.7158946916461,0,15,15,376,0,0,0,13,7,0,31,0,7,272,227,267,252,0,3,17,28,15,255,274,282,236,28,17
2024-09-18 12:20:17,19.41364312171936,10,47,763.4600000000167,145.57760244607925,0,14,14,403,0,0,0,12,5,0,28,0,5,303,240,246,236,0,5,17,21,14,237,252,312,249,21,17
2024-09-18 12:20:17,21.409040927886963,10,49,817.6000000000178,161.10872399061918,0,15,15,422,0,0,0,15,4,1,24,0,4,295,273,274,326,0,6,16,16,15,332,277,304,278,16,16
2024-09-18 12:20:17,23.329567909240723,10,30,748.8400000000148,140.29795233532786,0,15,15,395,0,0,0,14,5,0,25,0,5,279,224,252,250,0,5,15,24,15,256,256,289,228,24,16
2024-09-18 12:20:17,25.5276517868042,10,18,688.5200000000132,131.24633071571589,0,16,16,383,0,0,0,14,7,1,26,0,7,257,239,193,270,0,3,18,15,16,278,199,262,244,15,18
2024-09-18 12:20:17,27.44710087776184,10,35,662.5600000000134,121.72305656969547,0,13,13,359,0,0,0,12,6,1,25,0,6,223,210,209,242,0,4,13,14,13,246,215,229,219,14,13
2024-09-18 12:20:17,29.740045070648193,10,12,800.540000000017,156.71330250799656,0,9,9,412,0,0,0,9,4,1,34,0,4,252,258,277,298,0,6,11,24,9,307,281,260,269,24,11
2024-09-18 12:20:17,31.97030997276306,10,12,760.8800000000173,156.4508644491434,1,14,14,402,0,0,0,14,5,1,34,0,5,271,227,252,302,0,5,16,17,14,314,258,283,229,17,16
2024-09-18 12:20:17,34.52204895019531,10,49,845.0400000000186,172.57616157829762,1,23,23,448,0,0,0,20,5,2,34,0,5,327,284,295,275,0,5,26,16,23,283,302,337,290,16,26
2024-09-18 12:20:17,36.555103063583374,10,6,586.1800000000108,116.07461951673031,0,14,14,321,0,0,0,13,6,2,23,0,6,193,207,177,220,0,4,17,27,14,225,184,198,210,27,17
2024-09-18 12:20:17,38.697932958602905,10,49,621.0800000000121,129.00919400528073,0,14,14,339,0,0,0,14,6,0,18,0,6,228,241,206,223,0,4,17,24,14,229,210,232,242,24,17
2024-09-18 12:20:17,41.09163188934326,10,49,891.8800000000191,159.85210517421365,0,17,17,452,0,0,0,15,3,1,52,0,3,337,252,248,281,0,7,19,24,17,305,256,347,260,24,19
2024-09-18 12:20:17,43.12948203086853,10,49,666.3000000000125,133.38301610946655,0,12,12,362,0,0,0,10,6,2,22,0,6,228,217,250,218,0,4,17,21,12,223,254,231,222,21,17
2024-09-18 12:20:17,45.24585199356079,10,49,871.2600000000174,160.10455079376698,0,14,14,439,0,0,0,13,3,1,25,0,3,289,273,231,295,0,7,16,12,14,302,238,291,280,12,16
2024-09-18 12:20:17,47.83175992965698,10,49,849.5200000000193,177.6949751637876,1,22,22,442,0,0,0,22,4,1,38,0,4,293,291,267,319,0,6,30,22,22,330,272,297,301,22,30
2024-09-18 12:20:17,49.76713180541992,10,50,713.1000000000154,151.25511461496353,0,20,20,362,0,0,0,19,3,0,38,0,3,274,233,252,253,0,7,23,39,20,268,256,280,243,39,23
2024-09-18 12:20:17,51.49212288856506,10,25,557.0800000000099,113.54074937850237,0,13,13,306,0,0,0,11,6,0,23,0,6,226,184,190,204,0,4,16,16,13,213,193,228,190,16,16
2024-09-18 12:20:17,53.363649129867554,10,4,755.9000000000148,149.31881275773048,0,15,15,399,0,0,0,14,5,2,27,0,5,264,231,234,283,0,5,16,24,15,290,247,266,235,24,16
2024-09-18 12:20:17,55.58203983306885,10,49,821.7800000000166,164.87937415763736,1,15,15,415,0,0,0,13,3,2,30,0,3,271,269,237,328,0,7,16,18,15,334,246,276,278,18,16
2024-09-18 12:20:17,57.320520877838135,10,46,665.3200000000132,139.5781438946724,0,16,16,363,0,0,0,15,6,2,31,0,6,259,205,227,247,0,4,20,23,16,251,237,263,214,23,20
2024-09-18 12:20:17,59.35467195510864,10,49,912.4000000000195,179.23908936232328,0,25,25,464,0,0,0,23,3,0,26,0,3,318,283,297,287,0,7,28,35,25,293,307,320,288,35,28
2024-09-18 12:20:17,61.28931403160095,10,22,823.5800000000166,167.9880869910121,0,17,17,426,0,0,0,16,4,1,36,0,4,285,269,267,309,0,6,19,18,17,317,270,297,279,18,20
